date,followers,difference
2018-10-20,12545113,32710
2018-10-21,12561687,16574
2018-10-22,12578616,16929
2018-10-24,12592559,13943
2018-10-25,12600417,7858
2018-10-26,12617512,17095
2018-10-28,12646990,29478
2018-10-29,12660512,13522
2018-10-31,12684772,24260
2018-11-01,12699603,14831
2018-11-02,12728210,28607
2018-11-04,12769161,40951
2018-11-06,12791914,22753
2018-11-07,12809985,18071
2018-11-08,12834719,24734
2018-11-10,12867945,33226
2018-11-11,12893677,25732
2018-11-12,12931896,38219
2018-11-14,12963548,31652
2018-11-16,13013747,50199
2018-11-18,13072543,58796
2018-11-19,13104401,31858
2018-11-21,13268539,164138
2018-11-22,13303177,34638
2018-11-23,13339593,36416
2018-11-24,13376023,36430
2018-11-25,13416057,40034
2018-11-26,13448382,32325
2018-11-27,13478003,29621
2018-11-28,13503560,25557
2018-11-29,13531302,27742
2018-11-30,13563385,32083
2018-12-01,13599877,36492
2018-12-02,13635979,36102
2018-12-03,13663398,27419
2018-12-04,13691514,28116
2018-12-05,13716181,24667
2018-12-06,13740540,24359
2018-12-07,13762794,22254
2018-12-09,13801700,38906
2018-12-10,13826934,25234
2018-12-11,13849831,22897
2018-12-12,13873223,23392
2018-12-13,13902484,29261
2018-12-14,13926718,24234
2018-12-15,13950512,23794
2018-12-16,13974967,24455
2019-01-29,15183072,1208105
2019-01-30,15199583,16511
2019-02-01,15217623,18040
2019-02-03,15271866,54243
2019-02-05,15332105,60239
2019-02-07,15374208,42103
2019-02-10,15443211,69003
2019-02-12,15497888,54677
2019-02-16,15591506,93618
2019-02-17,15623367,31861
2019-02-18,15650739,27372
2019-02-20,15697876,47137
2019-02-22,15738578,40702
2019-02-23,15759601,21023
2019-02-25,15819235,59634
2019-02-27,15854034,34799
2019-03-01,15890998,36964
2019-03-03,15933917,42919
2019-03-05,15974407,40490
2019-03-06,15993424,19017
2019-03-22,16230862,237438
2019-03-24,16258459,27597
2019-03-26,16299389,40930
2019-03-28,16362777,63388
2019-03-31,16438010,75233
2019-04-02,16476777,38767
2019-04-05,16573907,97130
2019-04-06,16660033,86126
2019-04-08,16716720,56687
2019-04-09,16778061,61341
2019-04-11,16861901,83840
2019-04-13,16964183,102282
2019-04-15,17114878,150695
2019-04-17,17216284,101406
2019-04-19,17317715,101431
2019-04-23,17599001,281286
2019-04-25,17707445,108444
2019-04-27,17786757,79312
2019-04-29,17868880,82123
2019-05-01,17945621,76741
2019-05-03,18042780,97159
2019-05-07,18209336,166556
2019-05-10,18303923,94587
2019-05-12,18368433,64510
2019-05-14,18431556,63123
2019-05-16,18489598,58042
2019-05-18,18550006,60408
2019-05-20,18614994,64988
2019-05-22,18667553,52559
2019-05-23,18699442,31889
2019-05-25,18740126,40684
2019-05-27,18805243,65117
2019-05-29,18864670,59427
2019-05-31,18924114,59444
2019-06-02,18979557,55443
2019-06-04,19045300,65743
2019-06-06,19096840,51540
2019-06-08,19156589,59749
2019-06-10,19210974,54385
2019-06-12,19267078,56104
2019-06-14,19312241,45163
2019-06-16,19370066,57825
2019-06-18,19419195,49129
2019-06-20,19468962,49767
2019-06-21,19497530,28568
2019-06-23,19542897,45367
2019-06-25,19584690,41793
2019-06-26,19616813,32123
2019-06-28,19642763,25950
2019-06-30,19683218,40455
2019-07-02,19715062,31844
2019-07-21,20006599,291537
2019-07-22,20021707,15108
2019-07-23,20030858,9151
2019-07-24,20041439,10581
2019-07-25,20053913,12474
2019-07-26,20065171,11258
2019-07-27,20076342,11171
2019-07-28,20092400,16058
2019-07-30,20129500,37100
2019-08-01,20156364,26864
2019-08-02,20168609,12245
2019-08-03,20185389,16780
2019-08-04,20202885,17496
2019-08-05,20220878,17993
2019-08-07,20255324,34446
2019-08-08,20269946,14622
2019-08-10,20307147,37201
2019-08-11,20328102,20955
2019-08-14,20383736,55634
2019-08-15,20398303,14567
2019-08-17,20433943,35640
2019-08-19,20468502,34559
2019-08-22,20513223,44721
2019-08-26,20577774,64551
2019-08-29,20614086,36312
2019-09-02,20650896,36810
2019-09-03,20692338,41442
2019-09-04,20679715,-12623
2019-09-05,20719593,39878
2019-09-06,20731720,12127
2019-09-07,20719593,-12127
2019-09-08,20750473,30880
2019-09-09,20760502,10029
2019-09-10,20782473,21971
2019-09-11,20796515,14042
2019-09-12,20794056,-2459
2019-09-14,20811606,17550
2019-09-15,20848593,36987
2019-09-16,20848593,0
2019-09-17,20848593,0
2019-09-19,20905709,57116
2019-09-22,20947143,41434
2019-09-24,20975057,27914
2019-09-25,20984629,9572
2019-09-26,20978457,-6172
2019-09-27,21030281,51824
2019-09-28,21076987,46706
2019-09-29,21094161,17174
2019-09-30,21094161,0
2019-10-02,21128754,34593
2019-10-03,21118264,-10490
2019-10-04,21155578,37314
2019-10-05,21145144,-10434
2019-10-06,21178072,32928
2019-10-07,21178072,0
2019-10-08,21178072,0
2019-10-09,21216821,38749
2019-10-10,21226715,9894
2019-10-12,21228238,1523
2019-10-15,21265549,37311
2019-10-16,21279206,13657
2019-10-18,21289288,10082
2019-10-23,21347058,57770
2019-10-25,21364137,17079
2019-10-26,21364729,592
2019-10-27,21369593,4864
2019-10-28,21378423,8830
2019-10-29,21386713,8290
2019-10-31,21404379,17666
2019-11-03,21404378,-1
2019-11-04,21404378,0
2019-11-05,21404378,0
2019-11-06,21436039,31661
2019-11-08,21446552,10513
2019-11-09,21451002,4450
2019-11-10,21454282,3280
2019-11-11,21459497,5215
2019-11-12,21459496,-1
2019-11-13,21459876,380
2019-11-14,21460174,298
2019-11-15,21479593,19419
2019-11-16,21467222,-12371
2019-11-17,21482660,15438
2019-11-18,21490929,8269
2019-11-19,21498005,7076
2019-11-20,21504623,6618
2019-11-21,21511948,7325
2019-11-22,21512703,755
2019-11-23,21517371,4668
2019-11-24,21527248,9877
2019-11-25,21531471,4223
2019-11-26,21541653,10182
2019-11-27,21546224,4571
2019-11-28,21549180,2956
2019-11-29,21552133,2953
2019-11-30,21561959,9826
2019-12-01,21566054,4095
2019-12-02,21571806,5752
2019-12-03,21577538,5732
2019-12-06,21600143,22605
